County/City,Ward,Pct,"Jennifer Ann Kiggans","Jarome Bell","Larry Thomas Altman, III","Andrew George Baan","All Others","Total Votes Cast"
"Virginia Beach City",-,"34 - Blackwater",65,23,34,2,0,124
"Virginia Beach City",-,"35 - Courthouse",197,57,82,4,0,340
"Virginia Beach City",-,"36 - Windsor Oaks",95,54,14,4,0,167
"Virginia Beach City",-,"37 - Chesapeake Beach",103,42,23,9,0,177
"Virginia Beach City",-,"38 - Witchduck",322,70,64,7,0,463
"Virginia Beach City",-,"39 - Pembroke",137,47,20,5,0,209
"Virginia Beach City",-,"40 - Bonney",64,23,4,0,0,91
"Virginia Beach City",-,"41 - College Park",67,22,9,3,0,101
"Virginia Beach City",-,"42 - Brandon",138,60,21,6,0,225
"Virginia Beach City",-,"43 - Bellamy",59,23,2,4,0,88
"Virginia Beach City",-,"44 - Centerville",122,49,38,6,0,215
"Virginia Beach City",-,"45 - Timberlake",51,25,11,2,0,89
"Virginia Beach City",-,"46 - Green Run",37,19,7,0,0,63
"Virginia Beach City",-,"47 - Kings Grant",375,53,67,3,0,498
"Virginia Beach City",-,"48 - Wolfsnare",214,74,27,8,0,323
"Virginia Beach City",-,"49 - Lynnhaven",206,54,55,6,0,321
"Virginia Beach City",-,"50 - Oceana",32,17,7,1,0,57
"Virginia Beach City",-,"51 - Stratford Chase",141,37,19,6,0,203
"Virginia Beach City",-,"52 - Homestead",158,79,51,9,0,297
"Virginia Beach City",-,"53 - Shannon",114,36,26,2,0,178
"Virginia Beach City",-,"54 - Cromwell",38,44,6,2,0,90
"Virginia Beach City",-,"55 - Magic Hollow",34,24,19,4,0,81
"Virginia Beach City",-,"56 - Edinburgh",118,41,8,8,0,175
"Virginia Beach City",-,"57 - Sherry Park",78,53,3,3,0,137
"Virginia Beach City",-,"58 - Glenwood",106,58,30,7,0,201
"Virginia Beach City",-,"59 - Shelton Park",92,38,14,7,0,151
"Virginia Beach City",-,"60 - Foxfire",165,78,69,5,0,317
"Virginia Beach City",-,"61 - Baker",10,4,5,1,0,20
"Virginia Beach City",-,"62 - Landstown",142,66,42,8,0,258
"Virginia Beach City",-,"63 - Culver",126,65,49,8,0,248
"Virginia Beach City",-,"64 - Rosemont Forest",114,49,19,3,0,185
"Virginia Beach City",-,"65 - Colonial",87,28,39,1,0,155
"Virginia Beach City",-,"66 - Hunt",119,51,68,6,0,244
"Virginia Beach City",-,"67 - Eastern Shore",37,15,5,2,0,59
"Virginia Beach City",-,"68 - Manor",223,52,18,3,0,296
"Virginia Beach City",-,"69 - Shell",52,22,18,3,0,95
"Virginia Beach City",-,"70 - Corporate Landing",66,65,18,5,0,154
"Virginia Beach City",-,"71 - Round Hill",62,25,5,4,0,96
"Virginia Beach City",-,"72 - Rudee",172,44,27,5,0,248
"Virginia Beach City",-,"73 - Dahlia",43,19,6,2,0,70
"Virginia Beach City",-,"74 - Buckner",46,28,6,2,0,82
"Virginia Beach City",-,"75 - Colony",287,55,34,31,0,407
"Virginia Beach City",-,"76 - Village",36,14,5,2,0,57
"Virginia Beach City",-,"77 - Brookwood",60,69,21,9,0,159
"Virginia Beach City",-,"78 - Indian Lakes",84,49,9,5,0,147
"Virginia Beach City",-,"79 - Pleasant Hall",45,24,7,5,0,81
"Virginia Beach City",-,"80 - Chimney Hill",39,29,6,3,0,77
"Virginia Beach City",-,"81 - Rock Lake",56,63,14,4,0,137
"Virginia Beach City",-,"82 - Shelburne",118,42,48,6,0,214
"Virginia Beach City",-,"83 - Strawbridge",131,72,49,6,0,258
"Virginia Beach City",-,"84 - Tallwood",75,27,13,5,0,120
"Virginia Beach City",-,"85 - Upton",148,54,89,2,0,293
"Virginia Beach City",-,"86 - Haygood",249,60,38,4,0,351
"Virginia Beach City",-,"87 - Hillcrest",129,51,18,5,0,203
"Virginia Beach City",-,"88 - North Landing",81,44,24,1,0,150
"Virginia Beach City",-,"89 - Lake Christopher",169,62,19,4,0,254
"Virginia Beach City",-,"90 - Lake Joyce",124,42,18,3,0,187
"Virginia Beach City",-,"91 - Lexington",71,41,9,2,0,123
"Virginia Beach City",-,"92 - Little Neck",291,42,15,5,0,353
"Virginia Beach City",-,"93 - Newtown",21,8,7,5,0,41
"Virginia Beach City",-,"94 - Pinewood",104,33,8,3,0,148
