"","pct","donald_j_trump","marco_rubio","rafael_edward_cruz","john_kasich","benjamin_s_carson_sr","jeb_bush","rand_paul","mike_huckabee","chris_christie","carly_fiorina","jim_gilmore","lindsey_graham","rick_santorum","all_others","fips"
"188","401 - Buffalo Gap",152,67,103,13,34,0,1,1,0,0,0,0,1,0,"51015"
"189","402 - Churchville Elementary",164,100,84,30,35,0,1,2,0,1,0,0,0,0,"51015"
"190","403 - Craigsville",105,36,58,6,8,0,2,1,0,0,0,0,1,0,"51015"
"191","404 - Deerfield",58,27,21,7,17,0,1,1,0,0,0,0,0,0,"51015"
"192","405 - Cedar Green",173,150,127,34,31,0,0,3,0,0,0,0,0,0,"51015"
"193","501 - Greenville",232,138,156,35,49,4,0,1,0,0,0,0,0,0,"51015"
"194","502 - Middlebrook",113,91,99,17,29,0,2,0,0,0,0,0,0,0,"51015"
"195","503 - Spottswood",134,78,75,15,19,1,2,0,0,1,0,1,0,0,"51015"
"196","504 - White Hill",256,150,181,40,58,2,0,1,0,1,0,0,2,0,"51015"
"197","601 - Sherando",158,86,121,36,38,0,1,2,2,0,0,0,1,0,"51015"
"198","602 - Ridgeview",365,270,226,77,81,4,1,1,4,1,0,1,1,0,"51015"
"199","603 - Lyndhurst",253,168,169,47,64,0,1,2,1,0,0,0,1,0,"51015"
"200","801 - Dooms",219,109,119,19,34,0,0,1,0,0,0,0,0,0,"51015"
"201","802 - Fishersville",373,294,206,77,77,2,1,2,2,0,0,2,0,0,"51015"
"202","803 - Wilson",236,207,130,50,50,2,2,0,0,0,1,0,0,0,"51015"
"203","Ab - Central Absentee Precinct",60,63,41,15,12,5,1,0,0,0,0,0,0,0,"51015"
"204","Provisional",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"51015"
"205","101 - Warm Springs",59,32,10,7,9,0,0,0,0,0,0,0,0,0,"51017"
"206","102 - Mountain Grove",17,5,7,5,1,0,0,0,0,0,0,0,0,0,"51017"
"207","201 - Hot Springs",34,24,8,2,3,0,0,1,0,0,0,0,0,0,"51017"
"208","301 - Fairview",50,27,9,7,9,1,0,0,0,0,0,0,0,0,"51017"
"209","302 - Burnsville",19,0,3,1,1,0,0,0,0,0,1,0,0,0,"51017"
"210","401 - Millboro",56,22,22,9,8,0,2,0,0,0,0,0,0,0,"51017"
"211","501 - Healing Springs",57,30,8,3,20,0,1,1,1,0,0,0,0,0,"51017"
"212","Ab - Central Absentee Precinct",4,7,2,1,0,0,0,0,0,0,0,0,0,0,"51017"
"213","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51017"
"214","101 - Goodview Elem School (CD 5)",250,86,145,20,23,0,1,0,0,0,1,0,0,0,"51019"
"215","102 - Hardy Vol Fire Co (CD 5)",115,46,59,16,18,1,0,0,0,0,0,0,1,0,"51019"
"216","103 - Chamblissburg Baptist Church (CD 5)",194,64,81,11,27,0,2,0,0,0,0,0,1,0,"51019"
"217","104 - Stewartsville Rescue Squad (CD 5)",159,48,90,7,25,0,0,0,0,0,0,0,0,0,"51019"
"218","201 - Bedford Christian Church (CD 5)",101,33,60,5,38,0,1,1,0,0,0,0,0,0,"51019"
"219","202 - Staunton River High School (CD 5)",129,39,86,7,24,1,0,1,0,0,1,0,0,0,"51019"
"220","203 - Moneta Elem School (CD 5)",267,125,125,47,35,1,0,3,0,0,0,0,0,0,"51019"
"221","204 - Quaker Baptist Church (CD 5)",87,25,49,8,13,0,0,0,1,0,0,0,0,0,"51019"
"222","205 - Saunders Vol Fire Co (CD 5)",227,141,102,49,38,1,0,1,0,1,1,0,0,0,"51019"
"223","301 - New London Academy (CD 6)",319,258,436,41,110,1,0,2,0,0,0,0,0,0,"51019"
"224","302 - Bedford Regional Water Auth (CD 5)",173,61,147,18,33,0,0,0,0,0,0,0,0,0,"51019"
"225","303 - Bethesda United Methodist Church (CD 5)",98,42,106,15,28,0,1,0,0,0,0,0,0,0,"51019"
"226","304 - Forest Youth Athletic Assoc (CD 6)",86,69,117,23,42,0,1,1,0,0,0,0,0,0,"51019"
"227","305 - Huddleston Elem School (CD 5)",97,50,67,8,27,1,0,0,0,0,0,0,1,0,"51019"
"228","401 - Forest Elementary School (CD 6)",201,222,278,67,43,1,1,1,0,0,1,1,0,0,"51019"
"229","402 - Thomas Jefferson Elem School (CD 6)",133,130,168,28,50,1,1,0,0,0,0,0,0,0,"51019"
"230","403 - Knights Of Columbus Bldg (CD 6)",268,236,327,71,87,2,1,1,1,0,0,1,0,0,"51019"
"231","404 - St. Paul Baptist Church (CD 6)",233,211,259,51,59,4,0,0,0,0,0,0,1,0,"51019"
"232","502 - Big Island Elem School (CD 6)",73,21,38,6,14,0,0,0,0,0,0,0,0,0,"51019"
"233","503 - Sedalia Center (CD 6)",101,28,60,8,20,0,0,0,0,0,0,0,0,0,"51019"
"234","504 - Suck Springs Baptist Church (CD 6)",130,68,117,16,36,0,2,0,0,0,0,0,0,0,"51019"
"235","505 - Boonsboro Elementary School (CD 6)",218,190,179,72,57,2,3,0,0,0,0,1,0,0,"51019"
"236","506 - Boonsboro Ruritan Club (CD 6)",278,255,364,62,77,2,3,1,0,0,0,0,0,0,"51019"
"237","601 - Montvale Elem School (CD 6)",163,81,104,12,43,2,0,1,1,0,0,0,0,0,"51019"
"238","602 - Shady Grove Fire Department (CD 5)",196,59,112,8,29,0,0,0,0,1,0,0,0,0,"51019"
"239","603 - Thaxton Baptist Church #1 (CD 5)",60,20,25,0,8,0,0,0,0,0,0,0,0,0,"51019"
"240","604 - Bedford Welcome Center (CD 5)",209,109,141,29,71,1,2,1,2,0,0,0,1,0,"51019"
"241","701 - Goode Vol Rescue Squad (CD 5)",256,159,288,31,62,3,1,0,1,0,0,0,0,0,"51019"
"242","702 - Liberty High School (CD 5)",130,94,82,29,26,1,1,1,0,0,0,0,1,0,"51019"
"243","703 - Thaxton Baptist Church #2 (CD 5)",102,60,72,7,21,0,1,2,0,0,0,0,0,0,"51019"
"244","704 - Bedford Central Library (CD 5)",183,127,116,26,69,4,2,0,0,0,0,0,0,0,"51019"
"245","Ab - Central Absentee Precinct (CD 5)",52,45,38,14,10,2,0,1,2,0,0,0,0,0,"51019"
"246","Ab - Central Absentee Precinct (CD 6)",41,29,33,8,9,0,0,0,1,0,0,0,0,0,"51019"
"247","Provisional (CD 5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51019"
"248","Provisional (CD 6)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,"51019"
"249","101 - Bastian",67,29,20,9,11,0,0,0,0,0,0,0,0,0,"51021"
"250","102 - Ceres",67,20,14,7,18,1,0,0,0,0,0,0,0,0,"51021"
"251","201 - Davis",20,5,4,3,0,0,0,0,0,0,0,0,0,0,"51021"
"252","202 - Seddon",125,50,34,6,16,0,0,1,0,0,0,0,0,0,"51021"
"253","301 - Hollybrook",89,22,20,7,7,1,0,0,0,0,0,0,0,0,"51021"
"254","302 - Mechanicsburg",44,21,4,4,1,0,0,0,0,0,0,0,0,0,"51021"
"255","401 - Rocky Gap",164,34,69,8,20,1,1,1,1,0,0,0,0,0,"51021"
"256","Ab - Central Absentee Precinct",8,2,5,1,0,0,0,0,0,0,0,0,0,0,"51021"
"257","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51021"
"258","101 - Daleville",213,208,134,36,41,1,1,1,0,0,0,0,1,0,"51023"
"259","102 - Greenfield",228,191,213,53,55,1,1,2,1,0,1,0,0,0,"51023"
"260","201 - Blue Ridge",205,173,207,34,44,1,2,2,0,0,0,0,0,0,"51023"
"261","202 - Rainbow Forest",261,149,219,21,48,0,0,2,0,0,0,0,0,0,"51023"
"262","301 - Buchanan",172,91,94,28,42,1,2,1,1,0,0,0,0,0,"51023"
"263","302 - Mill Creek",200,119,109,33,53,0,0,0,0,0,0,0,0,1,"51023"
"264","403 - Eagle Rock",115,51,83,14,22,1,2,2,1,0,0,0,0,0,"51023"
"265","406 - Fincastle",306,163,193,46,50,3,3,2,0,1,0,1,0,0,"51023"
"266","501 - Troutville",219,126,137,13,34,1,1,0,0,1,0,0,0,0,"51023"
"267","502 - Cloverdale",227,213,194,31,41,1,3,0,0,2,1,0,0,0,"51023"
"268","Ab - Central Absentee Precinct",39,35,37,13,10,3,0,0,0,0,0,0,0,0,"51023"
"269","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51023"
"270","1 - First Ward",168,77,102,10,20,0,0,2,0,0,0,0,0,0,"51520"
"271","2 - Second Ward",224,118,139,35,50,0,1,1,0,0,0,0,0,0,"51520"
"272","3 - Third Ward",131,46,50,11,19,0,0,0,0,0,0,0,0,0,"51520"
"273","4 - Fourth Ward",453,208,246,27,61,1,1,4,0,0,0,0,0,0,"51520"
"274","Ab - Central Absentee Precinct",12,9,5,3,1,0,1,0,0,0,0,0,0,0,"51520"
"275","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51520"
"276","101 - Brodnax",45,16,12,3,8,1,0,0,0,0,0,0,0,0,"51025"
"277","102 - Rock Store",80,26,9,6,6,0,0,0,0,1,0,0,1,0,"51025"
"278","103 - Tillman",91,44,23,6,13,0,1,0,0,0,0,1,0,0,"51025"
"279","201 - Dromgoole",10,13,5,4,1,0,0,0,0,0,0,0,0,0,"51025"
"280","202 - Edgerton",28,17,5,2,5,0,0,0,0,0,0,0,0,0,"51025"
"281","203 - Fitzhugh",23,9,11,1,6,0,0,0,0,0,0,0,0,0,"51025"
"282","301 - Alberta",17,7,1,1,3,0,0,0,0,0,0,0,0,0,"51025"
"283","302 - Danieltown",60,30,21,3,20,1,0,0,0,0,0,0,0,0,"51025"
"284","303 - Elmore",23,15,12,3,2,0,0,0,0,0,0,0,0,0,"51025"
"285","304 - Seymour",29,6,3,10,2,0,0,0,0,0,0,0,0,0,"51025"
"286","401 - Sturgeon",79,38,14,2,6,0,0,0,0,0,0,1,0,0,"51025"
"287","402 - King's Store",22,11,3,0,6,0,0,0,0,0,0,0,0,0,"51025"
"288","501 - Totaro",39,39,8,8,13,0,1,0,0,0,1,0,0,0,"51025"
"289","Ab - Central Absentee Precinct",15,12,6,5,1,2,0,0,1,1,0,0,0,0,"51025"
